"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"RAB2B",0.409558829946987,0.429553061498897,0.366983181325605,2362.17647058824,2206.92592592593,0.0679828638719618
"RAB31",0.343568563373015,0.399289241471154,0.398712391365035,7614.47058823529,7159.94444444444,0.0615482399158938
"RAB32",0.0791366332326791,0.267779929371377,0.572221977323685,38675.8823529412,31438.962962963,0.20716822837615
"RAB35",0.043615637119706,0.231230777487289,0.635954360548665,1530.76470588235,1726.42592592593,-0.120285914434979
"RAB39B",0.137788976369296,0.301069979594829,0.521332546866179,6476.47058823529,2283.57407407407,1.0424339077231
"RAB3A",0.497205826542225,0.465411253962635,0.332163119384528,857.882352941176,968.203703703704,-0.120975530545823
"RAB3B",0.324723961538923,0.390376570256297,0.408516255845899,1657.70588235294,1517.2037037037,0.0885656759714517
"RAB3C",0.212052031247504,0.335832515582542,0.473877257410502,82536,78193.6111111111,0.0540466169307881
"RAB3D",0.101638982224132,0.285986079505026,0.543655105826502,9581,8138.85185185185,0.163132850743844
"RAB4A",0.348869036025319,0.402026379300236,0.395745449381548,6579.47058823529,6418.07407407407,0.0248362001509815
"RAB5A",0.335008450058035,0.39419941691276,0.404284022450685,32337.1176470588,30168.8333333333,0.0694063409542104
"RAB5B",0.600346291437825,0.503791920105479,0.297748802065663,61235.7647058823,61106.9259259259,0.00210619575095362
"RAB5C",0.197521088685,0.32756282122647,0.484705397059601,89923.1176470588,84291.7777777778,0.0646707318929306
"RAB6B",0.130657751607153,0.297512003330069,0.526495507667024,45765.8823529412,40726.4259259259,0.116661719329528
"RAB7B",0.270991450994062,0.364700150280945,0.438064057727701,1140.70588235294,1313.44444444444,-0.141005767601332
"RABEPK",0.149314933584297,0.304219087141911,0.516813541169424,1578.17647058824,1779.03703703704,-0.119802179511304
"RABIF",0.134353548491198,0.298826490288011,0.524580905933063,837.823529411765,912.444444444444,-0.0853197079242346
"RAC1",0.205664768451298,0.332956361372599,0.477612683181333,63258,58020.7592592593,0.0864207370508193
"RAC2",0.095150053491872,0.280018802715332,0.552812805652979,57141.5294117647,50332.4814814815,0.126880538693986
"RAC3",0.165356444281566,0.313200384583919,0.504177713336408,3357,2982.31481481481,0.118347935525835
"RACGAP1",0.957752875379807,0.60745869011576,0.216483250675793,2378.35294117647,2997.92592592593,-0.231512484955629
"RAD1",0.682358610341281,0.533603526334093,0.272781309034578,748.411764705882,727.111111111111,0.0288740131401207
"RAD23A",0.0571265549288344,0.246987632737571,0.60732479236097,43970.1176470588,37603.0925925926,0.156423961993704
"RAD23B",0.0647780312150896,0.253824175804021,0.595467015345133,24227.2352941176,20776.9444444444,0.153633493960821
"RAD51",0.675265020953759,0.531157331988674,0.274776819231402,16579.4117647059,7379.2037037037,0.809495936907668
"RAD51L3",0.0249933363306406,0.195082722466774,0.709781192264156,2310.82352941176,1963.96296296296,0.162639615446683
"RAET1G",0.173939697060926,0.317256546206365,0.498589407997731,2228.82352941176,1745.51851851852,0.244422224176
"RAET1L",0.31658662311136,0.385143683327201,0.414377220530642,800.470588235294,648.611111111111,0.210366465378548
"RAF1",0.956298755779748,0.60745869011576,0.216483250675793,666.411764705882,660.981481481482,0.00818192127107767
"RAG1",0.249082234729181,0.352695937762187,0.452599542367175,1217.35294117647,1391.33333333333,-0.13358373884242
"RALA",0.126411900237434,0.295299369186499,0.529737480766433,8982.47058823529,7860.74074074074,0.133394121834391
